Student Support Services(SSS) Grantees,Zipcode
Texas A&M International University,78041-1900
Texas A&M International University,78041-1900
Texas A&M University/ Commerce,
Texas A&M University/ Corpus Christi,
Texas A&M University/ Corpus Christi,
Texas A&M University/ Kingsville,
Texas A&M University/ Kingsville,
Texas A&M University/ Texarkana,
Texas Christian University,76129
Texas Christian University,76129
Texas Southern University,77004
Texas Southern University,77004
Texas State University,78666
Texas State University/ San Marcos,
Texas Tech University,79409-5005
Texas Woman's University,76201
Texas Woman's University,76201
Tyler Junior College,75701
University of North Texas/ Wooten Hall,
University of Texas/ Arlington,
University of Texas/ El Paso,
University of Texas/ Rio Grande Valley,
University of Texas/ San Antonio,
University of the Incarnate Word,78209
Victoria County Junior College District,
Weatherford College of the Parker County Community College District,
Western Texas College,79549-9502
Wharton County Junior College District,
Dixie State College of Utah,
Salt Lake Community College,84123
Salt Lake Community College,84123
Snow College,84627
Southern Utah University,84720
University of Utah,84112-9008
Utah State University,84322-1400
Utah State University/ Blanding,
Utah Valley University,84058-5999
Weber State University,84408-1137
Weber State University,84408-1137
Central Virginia Community College,24502-2498
Dabney S. Lancaster Community College,
Hampton University,23668-0099
Lord Fairfax Community College,
Mountain Empire Community College,24219
Norfolk State University,23504-8000
Norfolk State University,23504-8000
Old Dominion University,23529
Patrick Henry Community College,
Paul D. Camp Community College,
Rappahannock Community College,23149-2616
Southwest Virginia Community College,24609
The Rector and Visitors of the University of Virginia,
Thomas Nelson Community College,
Tidewater Community College,23514
Tidewater Community College,23514
Virginia Commonwealth University,23284-2512
Virginia Commonwealth University,23284-2512
Virginia Highlands Community College,24212-0828
Virginia State University,23806
Virginia Union University,23220
Virginia Western Community College,24038
Wytheville Community College,24382-3308
Castleton State College,
Community College of Vermont,05601-0489
Johnson State College,
Vermont Technical College,05061-0500
Bellevue College,98007-6484
Bellingham Technical College,98225-1599
Big Bend Community College,98837-3299
Big Bend Community College,98837-3299
Central Washington University,98926-7501
Centralia College,98531-4099
Columbia Basin College,99301
Edmonds Community College,98037-5912
Everett Community College,98201
Everett Community College,98201
Evergreen State College,
Grays Harbor College,98520-7599
Grays Harbor College,98520-7599
Green River College,
Green River Community College,98092-3622
Heritage University,98948
Highline College,98198-9800
Lake Washington Technical College,
Lake Washington Technical College,
Lower Columbia College,98632-0310
Peirce College/ Fort Steilacoom,
Seattle Central College,98122
Seattle Central Community College,
SEATTLE COLLEGES dba North Seattle Community College,
Skagit Valley College,98273
South Seattle College,98106-1499
The Evergreen State College,98505
University of Washington,98195-4550
University of Washington/ Seattle,
Walla Walla Community College,99362-9267
Washington State University,99164-1009
Washington State University,99164-1009
Washington State University,99164-1009
Washington State University,99164-1009
Washington State University,99164-1009
Washington State University,99164-1009
Wenatchee Valley College,98801-1799
Whatcom Community College,98226
Yakima Valley Community College,98907-2520
Beloit College,53511-5595
Chippewa Valley Technical College,54701-6120
Gateway Technical College,53144-1690
Lac Courte Oreilles Ojibwa Community College,
Lakeshore Technical College,53015
Madison Area Technical College,53704
Madison Area Technical College,53704
"Marian University, Inc.",
Marquette University,53201-1881
Moraine Park Technical College District,
Mount Mary College,
Ripon College,54971-0248
The Board of Regents of UW System on behalf of UW-Milwaukee,
University of Wisconsin,
University of Wisconsin/ Eau Claire,
University of Wisconsin/ Eau Claire,
University of Wisconsin/ La Crosse,
University of Wisconsin/ Madison,
University of Wisconsin/ Milwaukee,
University of Wisconsin/ Oshkosh,
University of Wisconsin/ Oshkosh,
University of Wisconsin/ Parkside,
University of Wisconsin/ Platteville,
University of Wisconsin/ Platteville,
University of Wisconsin/ River Falls,
University of Wisconsin/ Stout,
University of Wisconsin/ Stout,
University of Wisconsin/ Superior,
University of Wisconsin/ Whitewater at Rock County,
Viterbo University,54601-8804
Concord University,24712
Glenville State College,
Marshall University,25755
Shepherd University,25443-3210
West Virginia State University,25112-1000
West Virginia University,26506
West Virginia University Institute of Technology,25136
Central Wyoming College,82501
Northern Wyoming Community College,
Northwest College,82435
University of Wyoming,82071
Total No. of Projects: 1162,
Data as of December 2022,
