Student Support Services(SSS) Grantees,City
Dyersburg State Community College, Dyersburg
East Tennessee State University, Johnson City
East Tennessee State University, Johnson City
Fisk University, Nashville
Lee University, Cleveland
Lincoln Memorial University, Harrogate
Maryville College, Maryville
Middle Tennessee State University, Murfreesboro
Northeast State Community College, Blountville
Pellissippi State Community College, Knoxville
Tusculum College,
Tusculum College,
University of Memphis, Memphis
University of Memphis, Memphis
University of Tennessee/ Chattanooga,
Volunteer State Community College, Gallatin
Abilene Christian University, Abilene
Amarillo College, Amarillo
Amarillo College/ West,
Austin Community College, Austin
College of the Mainland, Texas City
Dallas County Community College District/ Eastfield College,
Del Mar College, Corpus Christi
El Paso Community College,
Frank Phillips College, Borger
Galveston College, Galveston
Grayson County Junior College District,
Houston Baptist University,
Kilgore Junior College District,
Laredo Community College,
Lee College, Baytown
Lone Star College System, The Woodlands
Lone Star College System, The Woodlands
Lone Star College System, The Woodlands
Lone Star College System/ North Harris,
Lone Star College System/ Tomball,
McLennan County Junior College District,
McMurry University, Abilene
Midwestern State University, Wichita Falls
Mountain View College, Dallas
Navarro College, Corsicana
North Central Texas College, Gainesville
North Lake College, Irving
Palo Alto College, San Antonio
Paris Junior College, Paris
Paul Quinn College, Dallas
Ranger College, Ranger
Richland College, Dallas
Sam Houston State University, Huntsville
Sam Houston State University, Huntsville
San Antonio College, San Antonio
San Antonio College, San Antonio
South Plains College, Levelland
Southwest Texas Junior College,
St. Mary's University Texas,
Sul Ross State University, Alpine
Tarleton State University, Stephenville
Tarrant County College,
Tarrant County College District/ Trinity River,
Texarkana College, Texarkana
Texas A&M International University, Laredo
Texas A&M International University, Laredo
Texas A&M University/ Commerce,
Texas A&M University/ Corpus Christi,
Texas A&M University/ Corpus Christi,
Texas A&M University/ Kingsville,
Texas A&M University/ Kingsville,
Texas A&M University/ Texarkana,
Texas Christian University, Fort Worth
Texas Christian University, Fort Worth
Texas Southern University, Houston
Texas Southern University, Houston
Texas State University, San Marcos
Texas State University/ San Marcos,
Texas Tech University, Lubbock
Texas Woman's University, Denton
Texas Woman's University, Denton
Tyler Junior College, Tyler
University of North Texas/ Wooten Hall,
University of Texas/ Arlington,
University of Texas/ El Paso,
University of Texas/ Rio Grande Valley,
University of Texas/ San Antonio,
University of the Incarnate Word, San Antonio
Victoria County Junior College District,
Weatherford College of the Parker County Community College District,
Western Texas College, Snyder
Wharton County Junior College District,
Dixie State College of Utah,
Salt Lake Community College, Salt Lake City
Salt Lake Community College, Salt Lake City
Snow College, Ephraim
Southern Utah University, Cedar City
University of Utah, Salt Lake City
Utah State University, Logan
Utah State University/ Blanding,
Utah Valley University, Orem
Weber State University, Ogden
Weber State University, Ogden
Central Virginia Community College, Lynchburg
Dabney S. Lancaster Community College,
Hampton University, Hampton
Lord Fairfax Community College,
Mountain Empire Community College, Big Stone Gap
Norfolk State University, Norfolk
Norfolk State University, Norfolk
Old Dominion University, Norfolk
Patrick Henry Community College,
Paul D. Camp Community College,
Rappahannock Community College, Glenns
Southwest Virginia Community College, Cedar Bluffs
The Rector and Visitors of the University of Virginia,
Thomas Nelson Community College,
Tidewater Community College, Norfolk
Tidewater Community College, Norfolk
Virginia Commonwealth University, Richmond
Virginia Commonwealth University, Richmond
Virginia Highlands Community College, Abingdon
Virginia State University, Petersburg
Virginia Union University, Richmond
Virginia Western Community College, Roanoke
Wytheville Community College, Wytheville
Castleton State College,
Community College of Vermont, Montpelier
Johnson State College,
Vermont Technical College, Randolph Center
Bellevue College, Bellevue
Bellingham Technical College, Bellingham
Big Bend Community College, Moses Lake
Big Bend Community College, Moses Lake
Central Washington University, Ellensburg
Centralia College, Centralia
Columbia Basin College, Pasco
Edmonds Community College, Lynnwood
Everett Community College, Everett
Everett Community College, Everett
Evergreen State College,
Grays Harbor College, Aberdeen
Grays Harbor College, Aberdeen
Green River College,
Green River Community College, Auburn
Heritage University, Toppenish
Highline College, Des Moines
Lake Washington Technical College,
Lake Washington Technical College,
Lower Columbia College, Longview
Peirce College/ Fort Steilacoom,
Seattle Central College, Seattle
Seattle Central Community College,
SEATTLE COLLEGES dba North Seattle Community College,
Skagit Valley College, Mount Vernon
South Seattle College, Seattle
The Evergreen State College, Olympia
University of Washington, Seattle
University of Washington/ Seattle,
Walla Walla Community College, Walla Walla
Washington State University, Pullman
Washington State University, Pullman
Washington State University, Pullman
Washington State University, Pullman
Washington State University, Pullman
Washington State University, Pullman
Wenatchee Valley College, Wenatchee
Whatcom Community College, Bellingham
Yakima Valley Community College, Yakima
Beloit College, Beloit
Chippewa Valley Technical College, Eau Claire
Gateway Technical College, Kenosha
Lac Courte Oreilles Ojibwa Community College,
Lakeshore Technical College, Cleveland
Madison Area Technical College, Madison
Madison Area Technical College, Madison
"Marian University, Inc.",
Marquette University, Milwaukee
Moraine Park Technical College District,
Mount Mary College,
Ripon College, Ripon
The Board of Regents of UW System on behalf of UW-Milwaukee,
University of Wisconsin,
University of Wisconsin/ Eau Claire,
University of Wisconsin/ Eau Claire,
University of Wisconsin/ La Crosse,
University of Wisconsin/ Madison,
University of Wisconsin/ Milwaukee,
University of Wisconsin/ Oshkosh,
University of Wisconsin/ Oshkosh,
University of Wisconsin/ Parkside,
University of Wisconsin/ Platteville,
University of Wisconsin/ Platteville,
University of Wisconsin/ River Falls,
University of Wisconsin/ Stout,
University of Wisconsin/ Stout,
University of Wisconsin/ Superior,
University of Wisconsin/ Whitewater at Rock County,
Viterbo University, La Crosse
Concord University, Athens
Glenville State College,
Marshall University, Huntington
Shepherd University, Shepherdstown
West Virginia State University, Institute
West Virginia University, Morgantown
West Virginia University Institute of Technology, Montgomery
Central Wyoming College, Riverton
Northern Wyoming Community College,
Northwest College, Powell
University of Wyoming, Laramie
Total No. of Projects: 1162,
Data as of December 2022,
